sample,fastq_1,fastq_2,antibody,control,genotype
WT_H3K27ac_ChIPseq_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780292_SRR6823782.fastq.gz,,H3K27ac,WT_H3K27ac_input_REP1,WT
WT_H3K27ac_ChIPseq_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780292_SRR6823783.fastq.gz,,H3K27ac,WT_H3K27ac_input_REP1,WT
WT_H3K27ac_ChIPseq_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780292_SRR6823784.fastq.gz,,H3K27ac,WT_H3K27ac_input_REP1,WT
WT_H3K27ac_input_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780293_SRR6823785.fastq.gz,,,,WT
WT_H3K27ac_input_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780293_SRR6823786.fastq.gz,,,,WT
WT_H3K27ac_ChIPseq_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780294_SRR6823787.fastq.gz,,H3K27ac,WT_H3K27ac_input_REP2,WT
WT_H3K27ac_ChIPseq_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780294_SRR6823788.fastq.gz,,H3K27ac,WT_H3K27ac_input_REP2,WT
WT_H3K27ac_ChIPseq_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780294_SRR6823789.fastq.gz,,H3K27ac,WT_H3K27ac_input_REP2,WT
WT_H3K27ac_input_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780295_SRR6823790.fastq.gz,,,,WT
WT_H3K27ac_input_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780295_SRR6823791.fastq.gz,,,,WT
WT_H3K27ac_ChIPseq_REP3,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780296_SRR6823792.fastq.gz,,H3K27ac,WT_H3K27ac_input_REP3,WT
WT_H3K27ac_input_REP3,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780297_SRR6823793.fastq.gz,,,,WT
cKO_H3K27ac_ChIPseq_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780298_SRR6823794.fastq.gz,,H3K27ac,cKO_H3K27ac_input_REP1,cKO
cKO_H3K27ac_ChIPseq_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780298_SRR6823795.fastq.gz,,H3K27ac,cKO_H3K27ac_input_REP1,cKO
cKO_H3K27ac_ChIPseq_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780298_SRR6823796.fastq.gz,,H3K27ac,cKO_H3K27ac_input_REP1,cKO
cKO_H3K27ac_input_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780299_SRR6823797.fastq.gz,,,,cKO
cKO_H3K27ac_input_REP1,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780299_SRR6823798.fastq.gz,,,,cKO
cKO_H3K27ac_ChIPseq_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780300_SRR6823799.fastq.gz,,H3K27ac,cKO_H3K27ac_input_REP2,cKO
cKO_H3K27ac_ChIPseq_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780300_SRR6823800.fastq.gz,,H3K27ac,cKO_H3K27ac_input_REP2,cKO
cKO_H3K27ac_ChIPseq_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780300_SRR6823801.fastq.gz,,H3K27ac,cKO_H3K27ac_input_REP2,cKO
cKO_H3K27ac_input_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780301_SRR6823802.fastq.gz,,,,cKO
cKO_H3K27ac_input_REP2,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780301_SRR6823803.fastq.gz,,,,cKO
cKO_H3K27ac_ChIPseq_REP3,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780302_SRR6823804.fastq.gz,,H3K27ac,cKO_H3K27ac_input_REP3,cKO
cKO_H3K27ac_input_REP3,s3://hcbc-seqera/results/sra_peakanalysis_GSE111661/fastq/SRX3780303_SRR6823805.fastq.gz,,,,cKO